,_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,user_id,text_processed
0,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1057391826397732864,2018-10-30 22:00:31+00:00,"A Folha de São Paulo está praticando um desserviço à informação. Mais uma Fake News sendo desmentida, dessa vez internacional. https://t.co/YBozP0OKVG","A Folha de São Paulo está praticando um desserviço à informação. Mais uma Fake News sendo desmentida, dessa vez internacional. twitter.com/CancilleriaCol…",1057391826397732864,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",2797,11565,52203,954,1057391826397732864,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/CancilleriaCol/status/1057014800406994948'],['https://t.co/YBozP0OKVG'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/CancilleriaCol/status/1057014800406994948', 'date': '2018-10-29T21:02:21+00:00', 'content': 'Comunicado de prensa: Colombia rechaza versiones sobre una supuesta sugerencia de nuestro país al Presidente electo de Brasil para derrocar al gobierno de Nicolás Maduro https://t.co/4i2MzC8ch0', 'renderedContent': 'Comunicado de prensa: Colombia rechaza versiones sobre una supuesta sugerencia de nuestro país al Presidente electo de Brasil para derrocar al gobierno de Nicolás Maduro https://t.co/4i2MzC8ch0', 'id': 1057014800406994948, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'CancilleriaCol', 'id': 262398126, 'displayname': 'Cancillería Colombia', 'description': 'La Cancillería de Colombia promueve tanto los intereses nacionales a través de la política exterior, como los vínculos con colombianos que viven fuera del país.', 'rawDescription': 'La Cancillería de Colombia promueve tanto los intereses nacionales a través de la política exterior, como los vínculos con colombianos que viven fuera del país.', 'descriptionUrls': None, 'verified': True, 'created': '2011-03-07T23:56:40+00:00', 'followersCount': 341938, 'friendsCount': 1561, 'statusesCount': 70374, 'favouritesCount': 4366, 'listedCount': 1324, 'mediaCount': 34926, 'location': 'Bogotá, Colombia.', 'protected': False, 'linkUrl': 'http://www.cancilleria.gov.co', 'linkTcourl': 'https://t.co/pHoCM9iV21', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1416059355733057539/Fqd2vyBM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/262398126/1639148167', 'label': None, 'url': 'https://twitter.com/CancilleriaCol'}, 'replyCount': 619, 'retweetCount': 3028, 'likeCount': 9259, 'quoteCount': 1116, 'conversationId': 1057014800406994948, 'lang': 'es', 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'sourceUrl': 'http://twitter.com', 'sourceLabel': 'Twitter Web Client', 'outlinks': None, 'tcooutlinks': None, 'media': [{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1057013547346128897/pu/img/BHSC_hsCEnbDWMrM.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1057013547346128897/pu/pl/wopdrjJWgpGwYYEs.m3u8?tag=5', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057013547346128897/pu/vid/1280x720/jiOeLJoBcas8lR8T.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057013547346128897/pu/vid/640x360/OnQokH-CHSLRZBht.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057013547346128897/pu/vid/320x180/pWO-jSiqqtXMMhDM.mp4?tag=5', 'bitrate': 256000}], 'duration': 57.16, 'views': 981215}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,,,,,jairbolsonaro, folha paulo praticando desserviço informação fake news sendo desmentida dessa vez internacional
1,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1057284584277241856,2018-10-30 14:54:22+00:00,"Nossa campanha custou cerca de R$ 1,5 milhão, menos que a metade do que foi arrecadado com doações individuais. Pretendo doar o restante para a Santa Casa de Juiz de Fora, onde nasci novamente. Acredito que aqueles que em mim confiaram estarão de acordo. Muito obrigado a todos!","Nossa campanha custou cerca de R$ 1,5 milhão, menos que a metade do que foi arrecadado com doações individuais. Pretendo doar o restante para a Santa Casa de Juiz de Fora, onde nasci novamente. Acredito que aqueles que em mim confiaram estarão de acordo. Muito obrigado a todos!",1057284584277241856,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",8748,23211,145771,3173,1057284584277241856,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,,jairbolsonaro, campanha custou cerca r$ 15 milhão menos metade arrecadado doações individuais pretendo doar restante santa juiz onde nasci novamente acredito mim confiaram estarão acordo obrigado
2,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1057267590186352640,2018-10-30 13:46:51+00:00,"Somente com a união, num Brasil propositalmente estimulado para ser dividido, resgataremos nosso país! https://t.co/ex7vwZYXM4","Somente com a união, num Brasil propositalmente estimulado para ser dividido, resgataremos nosso país! https://t.co/ex7vwZYXM4",1057267590186352640,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",1607,9019,56253,754,1057267590186352640,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1057267485249101825/pu/img/fHAUJMvWOZzsKdfm.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057267485249101825/pu/vid/1280x720/0jesNC7L71qyg5rb.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1057267485249101825/pu/pl/jXsjv4_1fLVmT27E.m3u8?tag=5', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057267485249101825/pu/vid/640x360/9U-DCj98Y27-z2rM.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1057267485249101825/pu/vid/320x180/o1zO5lfX5tTNavcN.mp4?tag=5', 'bitrate': 256000}], 'duration': 85.233, 'views': 797683}]",,,,,,,,,,jairbolsonaro, somente união propositalmente estimulado ser dividido resgataremos
3,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1057080445861576704,2018-10-30 01:23:12+00:00,Nossa missão agora é unir o Brasil! Missão dada é missão cumprida! Boa noite a todos!,Nossa missão agora é unir o Brasil! Missão dada é missão cumprida! Boa noite a todos!,1057080445861576704,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",4519,15825,125244,1157,1057080445861576704,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,,jairbolsonaro, missão agora unir missão dada missão cumprida boa noite
4,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1057075487221170179,2018-10-30 01:03:30+00:00,"Presidente Eleito, Jair Bolsonaro, concede primeira entrevista na TV. https://t.co/Zh8LVVrXw7","Presidente Eleito, Jair Bolsonaro, concede primeira entrevista na TV. youtu.be/RryOhRIRZ-4",1057075487221170179,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",468,2546,22967,86,1057075487221170179,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['http://youtu.be/RryOhRIRZ-4'],['https://t.co/Zh8LVVrXw7'],,,,,,,,,,,jairbolsonaro, eleito jair concede primeira tv
10,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1056991367455477760,2018-10-29 19:29:14+00:00,"Acabo de receber os cumprimentos do Primeiro Ministro de Israel, Benjamin Netanyahu, ao lado do Embaixador Yossi Shelley. Nossos laços de amizade se traduzirão em acordos onde nossos povos serão os maiores beneficiados.","Acabo de receber os cumprimentos do Primeiro Ministro de Israel, Benjamin Netanyahu, ao lado do Embaixador Yossi Shelley. Nossos laços de amizade se traduzirão em acordos onde nossos povos serão os maiores beneficiados.",1056991367455477760,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",1853,10316,77884,681,1056991367455477760,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,,jairbolsonaro, acabo receber cumprimentos primeiro israel benjamin netanyahu lado embaixador yossi shelley laços amizade traduzirão acordos onde povos maiores beneficiados
11,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1056976505560055808,2018-10-29 18:30:11+00:00,"Senhor Fernando Haddad, obrigado pelas palavras! Realmente o Brasil merece o melhor. https://t.co/OmgUMuasX4","Senhor Fernando Haddad, obrigado pelas palavras! Realmente o Brasil merece o melhor. https://t.co/OmgUMuasX4",1056976505560055808,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",4135,15972,118752,3291,1056976505560055808,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DqsifBFX0AENESl?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DqsifBFX0AENESl?format=jpg&name=large'}]",,,,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -43.795449, 'latitude': -23.08302}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Rio de Janeiro, Brazil', 'name': 'Rio de Janeiro', 'type': 'city', 'country': 'Brazil', 'countryCode': 'BR'}",,,jairbolsonaro, senhor fernando haddad obrigado palavras realmente merece melhor
12,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1056723976729300992,2018-10-29 01:46:43+00:00,"Vamos evoluindo sempre juntos, Luiz. Um forte abraço! https://t.co/dlPjGM9DVs","Vamos evoluindo sempre juntos, Luiz. Um forte abraço! twitter.com/lpbragancabr/s…",1056723976729300992,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",582,3473,33180,76,1056723976729300992,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/lpbragancabr/status/1056524609057636354'],['https://t.co/dlPjGM9DVs'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/lpbragancabr/status/1056524609057636354', 'date': '2018-10-28T12:34:30+00:00', 'content': 'Notei nos últimos anos o quanto a dedicação a um ideal mudou alguns conhecidos meus.  Sinto que essa percepção vai além dos que conheço.', 'renderedContent': 'Notei nos últimos anos o quanto a dedicação a um ideal mudou alguns conhecidos meus.  Sinto que essa percepção vai além dos que conheço.', 'id': 1056524609057636354, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'lpbragancabr', 'id': 728281672731471873, 'displayname': 'Luiz P. O. Bragança', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': True, 'created': '2016-05-05T17:54:16+00:00', 'followersCount': 657328, 'friendsCount': 335, 'statusesCount': 2577, 'favouritesCount': 1559, 'listedCount': 1031, 'mediaCount': 164, 'location': 'Sao Paulo, Brazil', 'protected': False, 'linkUrl': 'http://www.lpbraganca.com.br', 'linkTcourl': 'https://t.co/3b3QFYngTj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1244057678399365120/aofgfaNw_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/728281672731471873/1583231576', 'label': None, 'url': 'https://twitter.com/lpbragancabr'}, 'replyCount': 112, 'retweetCount': 1526, 'likeCount': 11053, 'quoteCount': 50, 'conversationId': 1056524609057636354, 'lang': 'pt', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'outlinks': None, 'tcooutlinks': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -43.795449, 'latitude': -23.08302}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Rio de Janeiro, Brazil', 'name': 'Rio de Janeiro', 'type': 'city', 'country': 'Brazil', 'countryCode': 'BR'}",,,jairbolsonaro, vamos evoluindo sempre juntos luiz forte
13,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1056718471730511872,2018-10-29 01:24:51+00:00,Valeu @lobaoeletrico ! 🎸👍🏻,Valeu @lobaoeletrico ! 🎸👍🏻,1056718471730511872,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",618,3675,41148,129,1056718471730511872,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'lobaoeletrico', 'id': 20372050, 'displayname': 'Lobão', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lobaoeletrico'}]","{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -43.795449, 'latitude': -23.08302}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Rio de Janeiro, Brazil', 'name': 'Rio de Janeiro', 'type': 'city', 'country': 'Brazil', 'countryCode': 'BR'}",,,jairbolsonaro, valeu 🎸👍🏻
14,snscrape.modules.twitter.Tweet,https://twitter.com/jairbolsonaro/status/1056713939629809665,2018-10-29 01:06:50+00:00,"Recebemos há pouco ligação do Presidente dos EUA, @realDonaldTrump nos parabenizando por esta eleição histórica! Manifestamos o desejo de aproximar ainda mais estas duas grande nações e avançarmos no caminho da liberdade e da prosperidade!","Recebemos há pouco ligação do Presidente dos EUA, @realDonaldTrump nos parabenizando por esta eleição histórica! Manifestamos o desejo de aproximar ainda mais estas duas grande nações e avançarmos no caminho da liberdade e da prosperidade!",1056713939629809665,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'rawDescription': 'Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.', 'descriptionUrls': None, 'verified': True, 'created': '2010-03-31T23:13:44+00:00', 'followersCount': 7597880, 'friendsCount': 547, 'statusesCount': 13698, 'favouritesCount': 5278, 'listedCount': 7804, 'mediaCount': 5749, 'location': 'Brasília, Brasil', 'protected': False, 'linkUrl': 'https://t.me/jairbolsonarobrasil', 'linkTcourl': 'https://t.co/DzletgH0tv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/128372940/1540929521', 'label': None, 'url': 'https://twitter.com/jairbolsonaro'}",5980,33234,185033,6231,1056713939629809665,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'realDonaldTrump', 'id': 25073877, 'displayname': 'Donald J. Trump', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/realDonaldTrump'}]","{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -43.795449, 'latitude': -23.08302}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Rio de Janeiro, Brazil', 'name': 'Rio de Janeiro', 'type': 'city', 'country': 'Brazil', 'countryCode': 'BR'}",,,jairbolsonaro, recebemos pouco ligação eua parabenizando eleição histórica manifestamos desejo aproximar ainda duas grande nações avançarmos caminho liberdade prosperidade
